,precision,recall,f1-score,support
apple_id_icloud_account,0.07692307692307693,1.0,0.14285714285714285,1.0
apps_media,0.5789473684210527,0.6111111111111112,0.5945945945945946,18.0
battery_power,0.6842105263157895,0.6190476190476191,0.65,21.0
connectivity_network,0.5,0.5333333333333333,0.5161290322580645,15.0
device_hardware_charging,0.5833333333333334,0.7368421052631579,0.6511627906976745,19.0
features_accessibility_other,0.7368421052631579,0.5,0.5957446808510638,28.0
ios_update_software,0.75,0.3333333333333333,0.46153846153846156,18.0
orders_repairs_support,0.6,0.782608695652174,0.6792452830188679,23.0
purchases_billing_subscriptions,0.9473684210526315,0.6923076923076923,0.8,26.0
sync_setup_data,0.7272727272727273,0.7741935483870968,0.75,31.0
accuracy,0.635,0.635,0.635,0.635
macro avg,0.618489755858177,0.6582777438435519,0.584127198581587,200.0
weighted avg,0.6927917126732916,0.635,0.6463538661682133,200.0
