,apple_id_icloud_account,apps_media,battery_power,connectivity_network,device_hardware_charging,features_accessibility_other,ios_update_software,orders_repairs_support,purchases_billing_subscriptions,sync_setup_data
apple_id_icloud_account,1,0,0,0,0,0,0,0,0,0
apps_media,3,11,0,3,0,0,0,1,0,0
battery_power,1,1,13,0,5,0,0,0,0,1
connectivity_network,0,0,0,8,0,2,0,4,0,1
device_hardware_charging,0,3,1,0,14,0,0,0,0,1
features_accessibility_other,2,0,0,4,1,14,2,2,0,3
ios_update_software,0,3,4,1,4,0,6,0,0,0
orders_repairs_support,0,0,0,0,0,1,0,18,1,3
purchases_billing_subscriptions,3,0,0,0,0,0,0,5,18,0
sync_setup_data,3,1,1,0,0,2,0,0,0,24
